"species","bill_length","bill_depth","flipper_length","body_mass","sex"
"Adelie",41.3,21.1,195,4400,2
"Adelie",39,17.1,191,3050,1
"Adelie",37.7,16,183,3075,1
"Gentoo",59.6,17,230,6050,2
"Adelie",39.6,18.1,186,4450,2
"Adelie",36.6,18.4,184,3475,1
"Adelie",40.8,18.9,208,4300,2
"Gentoo",48.7,15.7,208,5350,2
"Chinstrap",45.7,17,195,3650,1
"Adelie",41.5,18.5,201,4000,2
"Chinstrap",49.5,19,200,3800,2
"Adelie",41.8,19.4,198,4450,2
"Adelie",39.7,18.9,184,3550,2
"Adelie",39.6,20.7,191,3900,1
"Gentoo",43.3,14,208,4575,1
"Adelie",37.2,18.1,178,3900,2
"Adelie",34.6,21.1,198,4400,2
"Chinstrap",49,19.6,212,4300,2
"Chinstrap",40.9,16.6,187,3200,1
"Gentoo",45.2,15.8,215,5300,2
"Gentoo",46.2,14.9,221,5300,2
"Adelie",36.5,18,182,3150,1
"Adelie",41.1,18.2,192,4050,2
"Chinstrap",50.8,18.5,201,4450,2
"Gentoo",50,16.3,230,5700,2
"Gentoo",45.3,13.8,208,4200,1
"Adelie",36.7,19.3,193,3450,1
"Chinstrap",50.5,19.6,201,4050,2
"Chinstrap",46.9,16.6,192,2700,1
"Adelie",39.7,18.4,190,3900,2
"Adelie",38.9,17.8,181,3625,1
"Adelie",39.6,17.2,196,3550,1
"Chinstrap",50.3,20,197,3300,2
"Adelie",41.1,17.5,190,3900,2
"Gentoo",49.3,15.7,217,5850,2
"Gentoo",46.1,13.2,211,4500,1
"Adelie",38.1,16.5,198,3825,1
"Adelie",40.2,17.1,193,3400,1
"Gentoo",47.5,14,212,4875,1
"Gentoo",50.5,15.9,222,5550,2
"Adelie",38.8,17.6,191,3275,1
"Adelie",39.6,18.8,190,4600,2
"Adelie",40.6,17.2,187,3475,2
"Gentoo",47.2,13.7,214,4925,1
"Adelie",37,16.9,185,3000,1
"Gentoo",46.1,15.1,215,5100,2
"Chinstrap",49.7,18.6,195,3600,2
"Adelie",38.5,17.9,190,3325,1
"Adelie",40.8,18.4,195,3900,2
"Adelie",37.8,20,190,4250,2
"Gentoo",47.3,15.3,222,5250,2
"Gentoo",48.7,15.1,222,5350,2
"Chinstrap",51.3,19.9,198,3700,2
"Gentoo",46.4,15,216,4700,1
"Gentoo",47.7,15,216,4750,1
"Adelie",38.1,17,181,3175,1
"Gentoo",46.8,15.4,215,5150,2
"Gentoo",49.1,15,228,5500,2
"Adelie",35.9,16.6,190,3050,1
"Gentoo",44.9,13.3,213,5100,1
"Chinstrap",46.4,18.6,190,3450,1
"Adelie",40.3,18.5,196,4350,2
"Chinstrap",45.5,17,196,3500,1
"Gentoo",50.4,15.3,224,5550,2
"Chinstrap",50.8,19,210,4100,2
"Adelie",40.9,16.8,191,3700,1
"Adelie",39.3,20.6,190,3650,2
"Chinstrap",47.5,16.8,199,3900,1
"Adelie",39.2,21.1,196,4150,2
"Adelie",37.6,19.3,181,3300,1
"Adelie",40.5,17.9,187,3200,1
"Gentoo",46.5,13.5,210,4550,1
"Chinstrap",48.1,16.4,199,3325,1
"Adelie",44.1,18,210,4000,2
"Gentoo",45.2,13.8,215,4750,1
"Chinstrap",50,19.5,196,3900,2
"Adelie",38.6,17,188,2900,1
"Adelie",39.1,18.7,181,3750,2
"Chinstrap",55.8,19.8,207,4000,2
"Adelie",38.9,18.8,190,3600,1
"Gentoo",52.1,17,230,5550,2
"Gentoo",49.6,15,216,4750,2
"Adelie",42.9,17.6,196,4700,2
"Adelie",39.8,19.1,184,4650,2
"Chinstrap",42.4,17.3,181,3600,1
"Gentoo",46.4,15.6,221,5000,2
"Chinstrap",45.4,18.7,188,3525,1
"Gentoo",43.5,15.2,213,4650,1
"Gentoo",46.7,15.3,219,5200,2
"Chinstrap",45.9,17.1,190,3575,1
"Gentoo",51.1,16.3,220,6000,2
"Adelie",35.7,16.9,185,3150,1
"Adelie",36,17.8,195,3450,1
"Chinstrap",45.2,17.8,198,3950,1
"Chinstrap",49.8,17.3,198,3675,1
"Chinstrap",46.5,17.9,192,3500,1
"Gentoo",48.4,14.6,213,5850,2
"Gentoo",45.1,14.5,215,5000,1
"Gentoo",48.1,15.1,209,5500,2
"Gentoo",45.5,15,220,5000,2
"Gentoo",53.4,15.8,219,5500,2
"Gentoo",55.9,17,228,5600,2
"Adelie",39,18.7,185,3650,2
"Chinstrap",52.7,19.8,197,3725,2
"Adelie",37.8,18.3,174,3400,1
"Adelie",41.1,19,182,3425,2
"Adelie",32.1,15.5,188,3050,1
"Adelie",40.7,17,190,3725,2
"Gentoo",49.8,15.9,229,5950,2
"Adelie",36,17.1,187,3700,1
"Chinstrap",52,20.7,210,4800,2
"Gentoo",46.6,14.2,210,4850,1
"Gentoo",42.7,13.7,208,3950,1
"Adelie",39.5,17.8,188,3300,1
"Gentoo",50.1,15,225,5000,2
"Chinstrap",51.3,18.2,197,3750,2
"Gentoo",45.7,13.9,214,4400,1
"Gentoo",46.5,14.5,213,4400,1
"Gentoo",49.2,15.2,221,6300,2
"Chinstrap",50.9,17.9,196,3675,1
"Adelie",41.6,18,192,3950,2
"Gentoo",50,15.2,218,5700,2
"Adelie",35.5,16.2,195,3350,1
"Chinstrap",50.7,19.7,203,4050,2
"Adelie",41.3,20.3,194,3550,2
"Adelie",36.3,19.5,190,3800,2
"Adelie",38.1,18.6,190,3700,1
"Chinstrap",46.4,17.8,191,3700,1
"Chinstrap",51.5,18.7,187,3250,2
"Gentoo",51.5,16.3,230,5500,2
"Adelie",35,17.9,190,3450,1
"Adelie",40.6,18.6,183,3550,2
"Adelie",41.5,18.3,195,4300,2
"Adelie",38.7,19,195,3450,1
"Chinstrap",45.2,16.6,191,3250,1
