"danceability","energy","acousticness","tempo","loudness"
0.642,0.632,0.29,107.505,-7.415
0.626,0.34,0.42,109.467,-15.92
0.671,0.733,5.01e-05,123.577,-10.884
0.609,0.773,0.075,113.443,-9.166
0.625,0.666,0.01,106.996,-10.446
0.236,0.372,0.274,177.3,-13.652
0.948,0.623,0.00124,135.979,-5.725
0.941,0.631,0.0366,128.597,-5.998
0.637,0.676,0.18,125.556,-10.691
0.559,0.601,0.26,114.08,-9.528
0.635,0.31,0.247,82.661,-17.473
0.516,0.457,0.596,173.934,-12.609
0.606,0.574,0.6,142.598,-11.88
0.751,0.744,0.152,148.014,-6.859
0.592,0.684,0.629,205.899,-10.567
0.669,0.279,0.841,111.05,-15.958
0.599,0.639,0.261,147.078,-9.327
0.882,0.735,0.0125,117.012,-6.886
0.72,0.748,0.0235,145.22,-5.522
0.789,0.667,0.0032,108.285,-11.867
0.652,0.69,0.543,117.287,-7.785
0.865,0.737,0.233,110.921,-7.175
0.673,0.386,0.0264,93.141,-16.149
0.481,0.897,0.0621,157.579,-10.258
0.679,0.684,0.0527,151.748,-8.559
0.838,0.506,0.00314,124.901,-7.586
0.533,0.575,0.664,146.167,-9.903
0.489,0.706,0.473,101.593,-12.636
0.755,0.769,0.314,114.966,-5.658
0.64,0.499,0.289,82.401,-6.093
0.445,0.492,0.036,148.013,-5.717
0.567,0.381,0.044,85.537,-5.238
0.269,0.408,0.779,97.187,-11.398
0.195,0.258,0.969,169.654,-12.117
0.319,0.52,0.267,89.438,-9.303
0.956,0.795,0.00356,121.294,-5.311
0.441,0.926,0.423,147.564,-4.736
0.767,0.811,0.0866,147.423,-8.548
0.445,0.787,0.00812,121.472,-10.145
0.439,0.683,0.9,101.08,-11.046
0.745,0.695,0.00593,102.014,-5.076
0.641,0.528,0.0666,101.399,-11.11
0.596,0.171,0.443,104.81,-19.953
0.484,0.612,0.107,149.793,-14.031
0.598,0.775,0.022,129.819,-4.035
0.516,0.595,0.0275,119.972,-4.63
0.772,0.397,0.719,112.874,-8.26
0.633,0.692,0.179,112.114,-11.002
0.558,0.902,0.289,136.932,-6.801
0.54,0.776,0.243,164.046,-4.155
0.582,0.846,0.022,92.004,-2.771
0.519,0.422,0.864,128.956,-8.732
0.645,0.693,0.0811,97.555,-6.481
0.736,0.914,0.0982,99.221,-6.408
0.905,0.703,0.0793,94.999,-2.345
0.311,0.0851,0.898,169.994,-12.232
0.593,0.801,0.549,133.974,-11.158
0.842,0.641,0.0249,117.194,-8.826
0.77,0.553,0.0614,98.346,-13.632
0.512,0.705,0.0472,134.934,-5.799
0.796,0.505,0.17,95.003,-9.529
0.847,0.415,0.206,123.214,-10.678
0.336,0.673,0.255,171.434,-7.796
0.787,0.265,0.639,113.703,-16.518
0.301,0.379,0.919,83.828,-6.29
0.724,0.772,0.248,95.074,-4.389
0.5,0.225,0.842,173.788,-10.22
0.597,0.755,0.0423,89.146,-2.209
0.501,0.496,0.0337,148.06,-9.469
0.597,0.415,0.189,108.987,-13.799
0.698,0.643,0.803,128.22,-16.985
0.467,0.111,0.833,116.083,-19.621
0.615,0.479,0.588,127.04,-8.429
0.302,0.19,0.885,73.703,-13.805
0.65,0.534,0.377,94.558,-10.391
0.738,0.512,0.0868,84.277,-12.143
0.534,0.732,0.548,74.799,-7.29
0.665,0.787,0.391,95.531,-10.563
0.571,0.9,0.0715,120.026,-4.975
0.348,0.497,0.0162,127.995,-11.384
0.584,0.614,0.00506,114.075,-5.587
0.61,0.316,0.755,110,-12.6
0.532,0.29,0.401,108.747,-15.812
